Fighter,Opponent,W/L,Method,Competition,Weight,Stage,Year
Amy Campo,Fernanda Mazzelli,W,DQ,NoGi Worlds,ABS,SF,2022
Amy Campo,Elizabeth Mitrovic,W,Pts: 7x0,NoGi Worlds,71KG,4F,2022
Amy Campo,Ane Svendsen,W,RNC,NoGi Worlds,71KG,SF,2022
Amy Campo,Melissa Cueto,W,RNC,NoGi Worlds,71KG,F,2022
Anderson Munis,Fellipe Andrew,L,Botinha,Pan American,ABS,R2,2022
Anderson Munis,Gutemberg Pereira,L,RNC,Brasileiro,ABS,R1,2022
Anderson Munis,Fellipe Andrew,L,Botinha,Pan American,100KG,4F,2022
Anderson Munis,Fellipe Andrew,L,Armbar,Brasileiro,100KG,SF,2022
Anderson Munis,Fellipe Andrew,L,Katagatame,World Champ.,100KG,4F,2022
Anderson Munis,Maique Azevedo,W,Pts: 4x2,Curitiba Open,100KG,4F,2022
Anderson Munis,Romes Ramos,W,Pts: 4x2,Curitiba Open,100KG,SF,2022
Anderson Munis,Estevan Martinez,W,Points,Pan American,ABS,R1,2022
Anderson Munis,Pedro Agrizzi,W,Pts: 4x4,Curitiba Open,100KG,F,2022
Anderson Munis,Jackson Douglas,W,Pts: 4x0,Pan American,100KG,R1,2022
Anderson Munis,Harrysson Pereira,W,Pts: 0x0,Brasileiro,100KG,R1,2022
Amy Campo,Bruna Maciel,W,Verbal tap,World Champ.,74KG,R1,2022
Andre Galvao,Reinier Ridder,D,---,One FC,ABS,SPF,2022
Enderson Dias,Marcos Lopes,W,Pts: 4x2,American Nat.,94KG,SF,2022
Fabricio Barbarotti,Osvaldo Moizinho,L,DQ,American Nat.,76KG,4F,2022
Andre Gois,Pedro Maia,L,Choke,Sul Brasileiro,82KG,F,2022
Andre Gois,Felipe Cesar,L,Pts: 4x0,Pan American,82KG,R2,2022
Andre Gois,Pedro Marinho,L,Guillotine,World Champ.,88KG,R1,2022
Andre Gois,Levi Jones,L,Pts: 2x2,Washington DCO,88KG,F,2022
Andre Gois,Angelo Claiborne,L,Pts: 0x0,Charlotte Open,88KG,F,2022
Fabricio Barbarotti,Tyler Najjar,W,Armbar,American Nat.,76KG,R1,2022
Fellipe Andrew,Paulo Lanzillotti,W,Pts: 10x0,American Nat.,100KG,SF,2022
Fellipe Andrew,Gabriel Oliveira,W,Pts: 2x0,American Nat.,ABS,SF,2022
Andre Gois,Vandicleidisson S.,W,Pts: 20x4,Sul Brasileiro,82KG,SF,2022
Andre Gois,Francisco Cuneo,W,Pts: 7x0,Charleston Open,82KG,SF,2022
Andre Gois,Italo Moura,W,N/A,Charleston Open,82KG,F,2022
Andre Gois,Clayton Mayfield,W,Pts: 4x0,Pan American,82KG,R1,2022
Fellipe Andrew,Aaron Tiegs,W,Reverse triangle,American Nat.,ABS,F,2022
André Porfirio,Andy Murasaki,L,Pts: 4x0,Dallas Open,ABS,F,2022
André Porfirio,Pedro Marinho,L,Pts: 4x2,Pan American,94KG,4F,2022
André Porfirio,Bruno Matias,L,Pts: 2x2,Houston Open,88KG,F,2022
André Porfirio,Oliver Taza,L,Pts: 2x0,Houston NGO,ABS,F,2022
André Porfirio,Leandro Lo,L,Pts: 4x0,World Champ.,88KG,4F,2022
André Porfirio,Matheus Godoy,L,Pts: 5x4,Grand Slam MIA,94KG,4F,2022
André Porfirio,Isaque Bahiense,L,Kimura,IBJJF GP,88KG,SF,2022
André Porfirio,Ronaldo Junior,L,Choke from back,IBJJF GP,88KG,3RD,2022
Anderson Munis,Vinicius Trator,W,Pts: 4x4,World Champ.,100KG,8F,2022
Fellipe Andrew,Jackson Douglas,W,Triangle,American Nat.,100KG,F,2022
Frank Cespedes,Nobuhiro Sawada,W,Pts: 7x0,American Nat.,58KG,SF,2022
Frank Cespedes,Osamah Almarwai,W,Pts: 12x12,American Nat.,58KG,F,2022
