Fighter,Opponent,W/L,Method,Competition,Weight,Stage,Year,Decided by Points,Point Diff
Amanda Magda,Brenda Ariane,W,5x4,Fortaleza Open,ABS,F,2022,1.0,1.0
Amanda Magda,Thais Gomes,W,Adv,Vitoria Open,ABS,F,2022,0.0,
Amy Campo,Ana Vieira,L,Armbar,World Champ.,74,4F,2022,0.0,
Amy Campo,Gabrieli Pessanha,L,Referee Decision,World Champ.,ABS,F,2022,0.0,
Amy Campo,Elisabeth Clay,L,2x0,NoGi Worlds,ABS,F,2022,1.0,2.0
Amy Campo,Gloria Armas,W,Armbar,Denver NGO,79,RR,2022,0.0,
Amy Campo,Gloria Armas,W,Bow and arrow,Denver NGO,ABS,4F,2022,0.0,
Amy Campo,Hannah Rauch,W,Armbar,Denver NGO,ABS,SF,2022,0.0,
Amy Campo,Kira Sung,W,Referee Decision,Denver NGO,ABS,F,2022,0.0,
Amy Campo,Amy Cadwell,W,RNC,Denver NGO,ABS,SF,2022,0.0,
Amy Campo,Erin Johnson,W,Scissor choke,Denver NGO,ABS,F,2022,0.0,
Ali Monfaradi,Saaid Ahmad,W,Verbal tap,VP Cup,77,R2,2022,0.0,
Amy Campo,Claire Thevenon,W,Armbar,World Champ.,ABS,R2,2022,0.0,
Amy Campo,Yara Soares,W,4x2,World Champ.,ABS,4F,2022,1.0,2.0
Amy Campo,Ana Vieira,W,Referee Decision,World Champ.,ABS,SF,2022,0.0,
Emilio Hernandez,Matheus Onda,L,8x0,American Nat.,70,4F,2022,1.0,8.0
Enderson Dias,Rodrigo Tatu,W,6x6,American Nat.,94,4F,2022,1.0,0.0
Amy Campo,Mariana Rolszt,W,,American NGN,ABS,SF,2022,0.0,
Amy Campo,Luciana Mota,W,Armbar,American NGN,ABS,F,2022,0.0,
Amy Campo,Barbara Barbosa,W,Armbar,Sal Lake CO,ABS,SF,2022,0.0,
Amy Campo,Mayara Custodio,W,Triangle,Sal Lake CO,ABS,F,2022,0.0,
Amy Campo,Mayara Custodio,W,RNC,Sal Lake CNGO,ABS,F,2022,0.0,
Amy Campo,Eleftheria Christodoulou,W,4x2,NoGi Worlds,ABS,8F,2022,1.0,2.0
Amy Campo,Julia Maele,W,Armbar,NoGi Worlds,ABS,4F,2022,0.0,
Amy Campo,Fernanda Mazzelli,W,DQ,NoGi Worlds,ABS,SF,2022,0.0,
Amy Campo,Elizabeth Mitrovic,W,7x0,NoGi Worlds,71,4F,2022,1.0,7.0
Amy Campo,Ane Svendsen,W,RNC,NoGi Worlds,71,SF,2022,0.0,
Amy Campo,Melissa Cueto,W,RNC,NoGi Worlds,71,F,2022,0.0,
Anderson Munis,Fellipe Andrew,L,Botinha,Pan American,ABS,R2,2022,0.0,
Anderson Munis,Gutemberg Pereira,L,RNC,Brasileiro,ABS,R1,2022,0.0,
Anderson Munis,Fellipe Andrew,L,Botinha,Pan American,100,4F,2022,0.0,
Anderson Munis,Fellipe Andrew,L,Armbar,Brasileiro,100,SF,2022,0.0,
Anderson Munis,Fellipe Andrew,L,Katagatame,World Champ.,100,4F,2022,0.0,
Anderson Munis,Maique Azevedo,W,4x2,Curitiba Open,100,4F,2022,1.0,2.0
Anderson Munis,Romes Ramos,W,4x2,Curitiba Open,100,SF,2022,1.0,2.0
Anderson Munis,Estevan Martinez,W,Points,Pan American,ABS,R1,2022,1.0,
Anderson Munis,Pedro Agrizzi,W,4x4,Curitiba Open,100,F,2022,1.0,0.0
Anderson Munis,Jackson Douglas,W,4x0,Pan American,100,R1,2022,1.0,4.0
Anderson Munis,Harrysson Pereira,W,0x0,Brasileiro,100,R1,2022,1.0,0.0
Amy Campo,Bruna Maciel,W,Verbal tap,World Champ.,74,R1,2022,0.0,
Andre Galvao,Reinier Ridder,D,---,One FC,ABS,SPF,2022,0.0,
Enderson Dias,Marcos Lopes,W,4x2,American Nat.,94,SF,2022,1.0,2.0
Fabricio Barbarotti,Osvaldo Moizinho,L,DQ,American Nat.,76,4F,2022,0.0,
Andre Gois,Pedro Maia,L,Choke,Sul Brasileiro,82,F,2022,0.0,
Andre Gois,Felipe Cesar,L,4x0,Pan American,82,R2,2022,1.0,4.0
Andre Gois,Pedro Marinho,L,Guillotine,World Champ.,88,R1,2022,0.0,
Andre Gois,Levi Jones,L,2x2,Washington DCO,88,F,2022,1.0,0.0
Andre Gois,Angelo Claiborne,L,0x0,Charlotte Open,88,F,2022,1.0,0.0
Fabricio Barbarotti,Tyler Najjar,W,Armbar,American Nat.,76,R1,2022,0.0,
